asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA,triangle,flag,reactangle,h&s,double_top,triple_top,mean
BSX,2019-05-10,Materials,micro,0.00015160581024455252,,,,0.22366493432154716,0.007741591030432461,0.2221868020631931,0.7841512527174883,1,0,1,,,,
BDI,2019-05-10,Materials,micro,0.00014024359095710076,,,,0.22465609044738888,,0.22288337954070905,,1,0,1,,,,
BSL,2019-05-10,Materials,mid,0.035056484315254446,0.027642509309653396,,,0.22364683933113774,0.012947143619861184,0.22217394840953464,0.7885081435546528,1,0,1,,,,
BMG,2019-05-10,Materials,micro,0.00014475091761658577,,,,0.22378262113957634,0.056727175654030966,0.22225104185639974,0.7783955237178803,1,0,1,,,,
BLD,2019-05-10,Materials,mid,0.03735709896436658,0.0771985104554569,,,0.2236469574253809,0.01147891083822744,0.22217416197267695,0.7927492070280482,1,0,1,,,,
BOE,2019-05-10,Materials,micro,0.0004410137428389848,,,,0.22373165166422498,0.05592632140950346,0.22224792098701346,0.7760878862397093,1,0,1,,,,
BOC,2019-05-10,Materials,micro,0.0003695068834390301,,,,,,,,1,0,1,,,,
BCB,2019-05-10,Materials,micro,0.00018461258776140618,,,,0.2226268386864022,0.02175654030966364,0.22141741379169247,,1,0,1,,,,
BRB,2019-05-10,Materials,micro,0.0003966447460346794,,,,0.22235368079724221,0.12186332087560064,0.22104412535149576,0.7817277878755481,1,0,1,,,,
BKW,2019-05-10,Materials,mid,0.01242594837909021,0.0845030077341736,,,0.2236474563735583,0.013614522156967433,0.22217461757404722,0.8067197690580563,1,0,1,,,,
BPL,2019-05-10,Materials,micro,0.00013104113236065226,,,,0.22365404898468313,0.008542445274959957,0.2221773967424058,0.7844274564310918,1,0,1,,,,
BYH,2019-05-10,Materials,micro,0.00014282591352243073,,,,0.22365616582399195,0.010277629471436197,0.22218088494039684,0.7803111301186786,1,0,1,,,,
CAI,2019-05-10,Materials,micro,0.0002796420581655481,,,,0.22364941673799488,0.022824345969033634,0.2221762378064202,0.8071563491214941,1,0,1,,,,
CXL,2019-05-10,Materials,micro,0.0004984821577474184,,,,0.2236533758474971,0.060464495461825946,0.2221796348841372,0.8107469973983393,1,0,1,,,,
CAE,2019-05-10,Materials,micro,0.00015320215510312014,,,,0.22366406632885988,0.048985584623598505,0.22221126785677606,0.7802042125521225,1,0,1,,,,
CBY,2019-05-10,Materials,micro,0.00019691383343625063,,,,0.22387418551101673,0.04257875066737853,0.2223243281843146,0.7667236893688301,1,0,1,,,,
CAY,2019-05-10,Materials,micro,0.0004766967455599076,,,,0.22536455552629084,0.09783769353977576,0.22365868493500593,0.7717131758081187,1,0,1,,,,
CAA,2019-05-10,Materials,micro,0.0002666834940195287,0.060799197937553714,,,0.22364671237982633,0.004538174052322477,0.22217379749158073,0.7871627641754875,1,0,1,,,,
CMM,2019-05-10,Materials,micro,0.0004175380831541671,,,,0.22378029763534202,0.024426054458088625,0.22229080731349773,0.7687996721194627,1,0,1,,,,
CWX,2019-05-10,Materials,micro,0.0001434832319936056,,,,0.22367163616984695,0.010678056593699947,0.2221875879755568,0.7805160554545779,1,0,1,,,,
CG1,2019-05-10,Materials,micro,0.00026842069283620525,,,,0.22364730875575434,0.061398825413774685,0.22217450367370464,0.7818792544281693,1,0,1,,,,
CDV,2019-05-10,Materials,micro,0.000820286500706899,,,,0.22385076447024044,,0.22236919922426807,0.7797409030970456,1,0,1,,,,
CAP,2019-05-10,Materials,micro,0.000179354039992007,,,,0.22435339718801253,0.026561665776828614,0.2228132539473004,0.7779945828432946,1,0,1,,,,
CZI,2019-05-10,Materials,micro,0.00025367797855413974,,,,0.2236744379557661,0.03243459690336358,0.22219281315377196,0.7777540183185432,1,0,1,,,,
CMD,2019-05-10,Materials,micro,0.00014536128476839102,,,,0.2238294455069925,0.0048051254671649755,0.2223220729575318,,1,0,1,,,,
CDT,2019-05-10,Materials,micro,0.00012916800947440066,,,,0.22377181256397038,0.0790176187933796,0.22225926261362436,0.7839017783955239,1,0,1,,,,
CYL,2019-05-10,Materials,micro,0.0006989642914557613,,,,0.22382756780852614,0.41177255739455415,0.22232199607480058,,1,0,1,,,,
CAZ,2019-05-10,Materials,micro,0.00014568994400397848,,,,0.22366104606859086,0.0026695141484249867,0.22218324837250505,0.7775847321714959,1,0,1,,,,
CLA,2019-05-10,Materials,micro,0.00014672287303011045,,,,0.22371181183137276,0.008675920982381206,0.22219146628222114,,1,0,1,,,,
CTM,2019-05-10,Materials,micro,0.00018306319422220821,,,,0.22388975623697846,0.0389749065670048,0.22235333575405733,0.7823871128693112,1,0,1,,,,
CXM,2019-05-10,Materials,micro,0.0002427383211410147,,,,0.22356156643050212,0.012146289375333689,0.2221115253267919,0.7721408460743434,1,0,1,,,,
CHN,2019-05-10,Materials,micro,0.00016756925883022855,,,,0.2236595787476195,0.014682327816337427,0.22217733124970881,0.7844809152143698,1,0,1,,,,
CIA,2019-05-10,Materials,small,0.004960688599318191,,,,,0.16324079017618792,,,1,0,1,,,,
CTO,2019-05-10,Materials,micro,0.0001661607192491395,,,,,0.00040042712226374803,,0.7809971845040808,1,0,1,,,,
CLZ,2019-05-10,Materials,micro,0.00013770821971114045,,,,0.22363866425715442,,0.22216665024508478,0.7843205388645356,1,0,1,,,,
CLV,2019-05-10,Materials,small,0.001885987547758882,0.2931824692065311,,,0.22364831550917733,0.12039508809396689,0.22217539209637666,0.8130902740653624,1,0,1,,,,
COB,2019-05-10,Materials,micro,0.0001723113420865617,,,,0.2236920310456421,0.01147891083822744,0.22219921720053268,,1,0,1,,,,
CHK,2019-05-10,Materials,micro,0.00014446920970036795,,,,0.22396062163994757,0.018019220501868657,0.22236544620798054,0.7816119605117788,1,0,1,,,,
CKA,2019-05-10,Materials,micro,0.0003973490158252239,,,,0.22365954627170262,0.12800320341697807,0.22218924237803256,0.7765333761003601,1,0,1,,,,
CRL,2019-05-10,Materials,micro,0.00015226312871572742,,,,,0.12346502936465563,,,1,0,1,,,,
CNJ,2019-05-10,Materials,micro,0.00014301371879990926,,,,0.22372694856099082,0.0026695141484249867,0.22223985399525129,0.7783153355429632,1,0,1,,,,
C6C,2019-05-10,Materials,micro,0.0009905789360605665,0.16478086508163853,,,,0.012680192205018686,,,1,0,1,,,,
CXO,2019-05-10,Materials,micro,0.00026738776381007325,,,,0.22459894464311983,0.016284036305392418,0.22294675938632935,0.7703054278484622,1,0,1,,,,
CRN,2019-05-10,Materials,mid,0.012754607614677657,0.17194213692351765,,,0.22364709323376056,0.028830752802989856,0.2221741648201855,0.7895149506397235,1,0,1,,,,
CGM,2019-05-10,Materials,micro,0.0001331069904129162,,,,0.22362030945941003,,0.22213307811911376,0.7839285077871628,1,0,1,,,,
CGN,2019-05-10,Materials,micro,0.00022311266964450714,,,,0.1856529453290289,,0.1740492512029172,0.7815585017285008,1,0,1,,,,
CUX,2019-05-10,Materials,micro,0.00016226375974145974,,,,0.22395400540997407,0.02562733582487987,0.22256455824432692,0.7432107345236824,1,0,1,,,,
CSR,2019-05-10,Materials,small,0.008622891510149748,0.12159839587510744,,,0.2236468570452742,0.017752269087026158,0.22217397118960316,0.7905039381303682,1,0,1,,,,
CUL,2019-05-10,Materials,micro,0.00013019600861199882,,,,0.22367197864315214,0.003737319807794981,0.2221878499463447,0.7839106881927369,1,0,1,,,,
DCN,2019-05-10,Materials,small,0.002478419295564941,,,,0.22374016330680133,0.02909770421783235,0.2222878886172195,0.771258776150255,1,0,1,,,,
DNK,2019-05-10,Materials,micro,0.0010357930566135252,,,,0.25353441972301877,0.0679391350774159,0.2503806335885379,0.7241526782850424,1,0,1,,,,
DHR,2019-05-10,Materials,micro,0.00016094912279910996,,,,0.22371004632243738,0.010010678056593699,0.2222215274301326,0.7802398517409745,1,0,1,,,,
DTM,2019-05-10,Materials,micro,0.00014540823608776067,,,,0.22426008797412933,0.0069407367859049655,0.2226419535270998,0.7731565629566273,1,0,1,,,,
DTR,2019-05-10,Materials,micro,0.00017141926701853865,,,,0.22365281489984204,0.0016017084890549921,0.22217747647264557,,1,0,1,,,,
DEG,2019-05-10,Materials,micro,0.0002637725122186114,,,,0.2236883524099674,0.022423918846769888,0.22220851146848597,0.8473484443494067,1,0,1,,,,
DGR,2019-05-10,Materials,micro,0.0005445883533684003,,,,0.223653857081538,0.006807261078483716,0.22218155125740086,0.7174614205780677,1,0,1,,,,
